metric,current,first_102_mean,first_102_median,regulation_only_mean,knockout_90_mean,rank_low_to_high_vs_first_102
Total fouls,22.0,23.0,22.5,22.393617021276597,22.636363636363637,43
Card events,0.0,2.8627450980392157,3.0,2.7872340425531914,3.272727272727273,1
Card events per 10 fouls,0.0,1.2457721871741105,1.2132352941176472,1.249329389726328,1.4259991188141705,1
