team,retained_starters,starter_changes,retained_players
France,4,7,"Adrien Rabiot, Kylian Mbappe, Michael Olise, Mike Maignan"
England,4,7,"Declan Rice, Djed Spence, Marc Guehi, Morgan Rogers"
