scope,xg,goals,goals_above_xg,goals_to_xg_ratio,poisson_tail_p
France,2.99,4,1.0099999999999998,1.3377926421404682,0.3505277056087059
England,2.34,6,3.66,2.5641025641025643,0.03217743967140086
Combined,5.33,10,4.67,1.876172607879925,0.04543228201707983
