design,pairs,friendly_mean,official_mean,mean_difference,ci_low,ci_high,permutation_p
Neutral top-10,23,2.5652173913043477,2.260869565217391,0.30434782608695654,-0.391304347826087,1.0,0.47210557888422316
Neutral top-15,55,2.418181818181818,2.418181818181818,0.0,-0.4913636363636362,0.49136363636362973,1.0
Neutral top-20,86,2.453488372093023,2.372093023255814,0.08139534883720931,-0.313953488372093,0.47674418604651164,0.7262547490501899
Neutral top-30,173,2.4508670520231215,2.491329479768786,-0.04046242774566474,-0.36416184971098264,0.2543352601156069,0.8250349930013997
Top-30 friendly vs qualifier,539,2.5250463821892395,2.3710575139146566,0.15398886827458255,-0.03896103896103896,0.35064935064935066,0.12684365781710916
