match_number,stage,team,opponent,match_duration,source_url,total_distance_m,zone3_distance_m,zone4_distance_m,zone5_distance_m,high_intensity_distance_m,high_speed_runs,sprints,attempts_at_goal,goals,pressures_direct,pressures_indirect,offers_in_behind,minutes,total_distance_m_per90,zone3_distance_m_per90,zone4_distance_m_per90,zone5_distance_m_per90,high_intensity_distance_m_per90,high_speed_runs_per90,sprints_per90,pressures_direct_per90,pressures_indirect_per90,offers_in_behind_per90,fifa_goals,team_xg,fifa_attempts,team_shots_on_target,team_completed_line_breaks,defensive_pressures,fifa_direct_pressures,forced_turnovers,opponent_xg,opponent_shots_on_target,opponent_completed_line_breaks,turnovers_per_100_pressures,high_intensity_km_per90
22,Group stage,England,Croatia,90,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M22-ENG-V-CRO.pdf,116982.4,16894.7,6603.9,2695.0,9298.9,1425.0,510.0,22.0,4.0,38.0,224.0,91.0,990.0,116982.4,16894.7,6603.9,2695.0,9298.9,1425.0,510.0,38.0,224.0,91.0,4,3.33,22,11,82,262,38,36,0.82,5,85,13.740458015267176,9.2989
45,Group stage,England,Ghana,90,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M45-ENG-V-GHA.pdf,108276.8,12617.8,5134.6,2336.9,7471.5,1094.0,419.0,19.0,0.0,39.0,66.0,115.0,990.0,108276.8,12617.799999999996,5134.6,2336.9,7471.5,1094.0,419.00000000000006,39.0,66.0,115.0,0,1.78,19,3,106,105,39,25,0.34,0,36,23.80952380952381,7.4715
67,Group stage,England,Panama,90,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M67-PAN-V-ENG.pdf,115205.4,15921.1,7552.6,3169.6,10722.2,1342.0,576.0,17.0,2.0,46.0,182.0,129.0,990.0,115205.4,15921.1,7552.6,3169.6,10722.2,1342.0,576.0,46.0,182.0,129.0,2,1.61,17,6,114,228,46,44,0.72,2,84,19.29824561403509,10.7222
80,Round of 32,England,Congo DR,90,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M80-ENG-V-COD.pdf,115499.9,14772.7,5933.8,2329.1,8262.9,1250.0,459.0,16.0,2.0,44.0,202.0,133.0,990.0,115499.89999999998,14772.7,5933.799999999999,2329.1,8262.9,1250.0,459.0,44.0,202.0,133.0,2,1.75,16,7,125,246,44,35,0.64,2,91,14.227642276422765,8.2629
92,Round of 16,England,Mexico,90,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M92-MEX-V-ENG.pdf,106741.8,12331.9,3863.9,1359.7,5223.6,1065.0,305.0,6.0,3.0,36.0,207.0,36.0,990.0,106741.8,12331.9,3863.9,1359.7,5223.6,1065.0,305.0,36.0,207.0,36.0,3,2.12,6,5,53,243,36,28,2.01,5,103,11.522633744855968,5.2236
99,Quarter-final,England,Norway,120,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M99-NOR-V-ENG.pdf,140792.9,15792.3,5493.5,1954.0,7447.5,1334.0,442.0,14.0,2.0,51.0,253.0,100.0,1320.0,105594.675,11844.225,4120.125,1465.5000000000002,5585.625,1000.5,331.5,38.25,189.75,75.0,2,1.64,14,7,121,304,51,42,0.87,4,100,13.81578947368421,5.585625
102,Semi-final,England,Argentina,90,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M102-ENG-V-ARG.pdf,107653.7,13737.1,4891.8,2067.8,6959.599999999999,1154.0,405.0,5.0,1.0,40.0,280.0,74.0,990.0,107653.7,13737.1,4891.8,2067.8,6959.599999999999,1154.0,405.0,40.0,280.0,74.0,1,0.46,5,2,74,320,40,32,1.47,5,115,10.0,6.959599999999999
103,Third-place,England,France,90,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M103-FRA-V-ENG.pdf,107715.1,12218.6,5811.3,2579.3,8390.6,1035.0,421.0,19.0,6.0,44.0,179.0,79.0,990.0,107715.1,12218.6,5811.300000000001,2579.3,8390.6,1035.0,421.0,44.0,179.0,79.0,6,2.34,19,11,116,223,44,32,2.99,9,105,14.349775784753364,8.390600000000001
17,Group stage,France,Senegal,90,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M17-FRA-V-SEN.pdf,120179.6,15676.9,6989.1,2824.4,9813.5,1339.0,533.0,11.0,3.0,49.0,228.0,100.0,990.0,120179.6,15676.9,6989.1,2824.4,9813.5,1339.0,533.0,48.99999999999999,228.0,100.0,3,1.62,11,8,118,277,49,54,0.39,2,101,19.494584837545126,9.8135
42,Group stage,France,Iraq,90,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M42-FRA-V-IRQ.pdf,107706.1,12838.9,4663.8,1741.2,6405.0,1113.0,374.0,19.0,3.0,35.0,222.0,94.0,990.0,107706.1,12838.9,4663.8,1741.2,6405.0,1113.0,374.00000000000006,35.0,222.0,94.0,3,2.3,19,5,117,257,35,42,0.7,0,89,16.342412451361866,6.405
61,Group stage,France,Norway,90,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M61-NOR-V-FRA.pdf,109120.6,13690.6,5564.0,2371.8,7935.8,1178.0,420.0,18.0,4.0,45.0,189.0,90.0,990.0,109120.6,13690.6,5564.0,2371.8,7935.8,1178.0,420.0,45.0,189.0,90.0,4,1.05,18,9,98,234,45,43,1.45,5,75,18.376068376068375,7.9358
77,Round of 32,France,Sweden,90,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M77-FRA-V-SWE.pdf,107680.8,12198.2,4860.5,2026.3,6886.8,1045.0,368.0,25.0,3.0,38.0,175.0,105.0,990.0,107680.8,12198.2,4860.5,2026.3,6886.799999999999,1045.0,368.0,38.0,175.0,105.0,3,2.9,25,12,129,213,38,35,0.71,3,71,16.431924882629108,6.886799999999999
89,Round of 16,France,Paraguay,90,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M89-PAR-V-FRA.pdf,104833.5,12082.7,4312.4,1548.6,5861.0,986.0,319.0,15.0,1.0,23.0,72.0,81.0,990.0,104833.5,12082.7,4312.4,1548.6,5861.0,986.0,319.0,23.0,72.0,81.0,1,1.93,15,5,103,95,23,37,0.13,0,37,38.94736842105263,5.861
97,Quarter-final,France,Morocco,90,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M97-FRA-V-MAR.pdf,108573.9,12640.2,5298.0,2158.9,7456.9,1074.0,363.0,22.0,2.0,31.0,232.0,94.0,990.0,108573.9,12640.2,5298.0,2158.9,7456.9,1074.0,363.0,31.0,232.00000000000003,94.0,2,3.52,22,8,104,263,31,38,0.16,1,76,14.448669201520913,7.456899999999999
101,Semi-final,France,Spain,90,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M101-FRA-V-ESP.pdf,113979.2,16040.0,6110.3,1760.0,7870.3,1339.0,472.0,10.0,0.0,47.0,251.0,74.0,990.0,113979.2,16040.0,6110.300000000001,1760.0000000000002,7870.299999999999,1339.0,472.0,47.0,251.0,74.0,0,0.48,10,3,111,298,47,51,2.21,2,98,17.114093959731544,7.870299999999999
103,Third-place,France,England,90,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M103-FRA-V-ENG.pdf,107322.6,14285.4,6128.3,2978.1,9106.4,1179.0,469.0,19.0,4.0,75.0,260.0,107.0,990.0,107322.6,14285.4,6128.299999999999,2978.0999999999995,9106.4,1179.0,469.0,75.0,260.0,107.0,4,2.99,19,9,105,335,75,30,2.34,11,116,8.955223880597014,9.106399999999999
