context,matches,mean_goals,sd_goals,empirical_10_plus,max_goals,tail_probability,tail_model,dispersion,tail_probability_pct
Matched official tournaments,173,2.491329479768786,1.5797353955272713,0.0,7.0,0.00027464577957715886,Negative binomial,0.0006822344740797849,0.027464577957715886
Matched professional friendlies,173,2.4508670520231215,1.671985955248325,0.0,7.0,0.0007612021281242965,Negative binomial,0.05738045071075523,0.07612021281242966
2026 World Cup 1–102 · FIFA,102,2.911764705882353,1.7354940014984326,0.0,8.0,0.0011380921635344018,Negative binomial,0.011815322946436078,0.11380921635344018
World Cup third-place · all eras,20,3.8,1.96281216089247,0.0,9.0,0.006170258121111181,Negative binomial,0.0036448461874908685,0.6170258121111181
World Cup title-path · all eras,226,3.146017699115044,2.0850594619063862,0.008849557522123894,12.0,0.007773063927088719,Negative binomial,0.12139066208701306,0.7773063927088719
Soccer Aid charity · regulation,15,5.133333333333334,2.065591117977289,0.0,9.0,0.03692526582234001,Poisson,0.0,3.6925265822340005
