match_number,stage,team,opponent,match_duration,shirt_number,player,total_distance_m,zone1_distance_m,zone2_distance_m,zone3_distance_m,zone4_distance_m,zone5_distance_m,high_speed_runs,sprints,top_speed_kmh,passes_attempted,passes_completed,pass_completion_pct,switches_of_play,crosses_attempted,crosses_completed,line_breaks_attempted,line_breaks_completed,line_break_completion_pct,ball_progressions,take_ons,step_ins,attempts_at_goal,goals,total_offers,offers_in_front,offers_in_between,offers_out_to_in,offers_in_to_out,offers_in_behind,offers_no_movement,offers_received,tackles_made,tackles_won,blocks,interceptions,pressures_direct,pressures_indirect,duels_won_aerial,duels_won_physical,possession_contests_won,clearances,loose_ball_receptions,pushing_on,pushing_on_into_pressing,possession_regains,possession_interrupted,player_lineup,position,started,minutes,source_url,minutes_source_url,minutes_note,high_intensity_distance_m
99,Quarter-final,England,Norway,120,18,Anthony Gordon,6856.8,3332.3,2158.9,799.0,327.7,238.8,60.0,33.0,35.2,33.0,28.0,85.0,0.0,2.0,1.0,12.0,8.0,67.0,10.0,9.0,1.0,0.0,0.0,41.0,11.0,5.0,2.0,0.0,16.0,7.0,21.0,3,0,1.0,0.0,2.0,20.0,0.0,0.0,0.0,2.0,2.0,16.0,14.0,2.0,2.0,Anthony Gordon,FW,True,71.0,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M99-NOR-V-ENG.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M99-NOR-V-ENG.pdf,Paired substitution times on the FIFA PMSR team-summary page.,566.5
99,Quarter-final,England,Norway,120,20,Noni Madueke,4538.9,2252.1,1389.0,468.7,261.1,168.0,33.0,23.0,32.7,17.0,17.0,100.0,0.0,3.0,1.0,3.0,3.0,100.0,3.0,2.0,1.0,0.0,0.0,32.0,4.0,0.0,0.0,0.0,16.0,12.0,10.0,1,1,0.0,0.0,3.0,11.0,0.0,0.0,0.0,0.0,1.0,7.0,3.0,1.0,0.0,Noni Madueke,FW,True,45.0,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M99-NOR-V-ENG.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M99-NOR-V-ENG.pdf,Paired substitution times on the FIFA PMSR team-summary page.,429.1
99,Quarter-final,England,Norway,120,21,Eberechi Eze,8724.6,3312.2,3657.7,1193.0,459.1,102.6,110.0,36.0,28.0,16.0,14.0,88.0,1.0,2.0,0.0,5.0,4.0,80.0,3.0,2.0,1.0,1.0,0.0,6.0,1.0,0.0,1.0,0.0,2.0,2.0,2.0,0,0,2.0,0.0,0.0,31.0,0.0,0.0,0.0,1.0,4.0,26.0,21.0,2.0,0.0,Eberechi Eze,MF,False,75.0,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M99-NOR-V-ENG.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M99-NOR-V-ENG.pdf,Paired substitution times on the FIFA PMSR team-summary page.,561.7
99,Quarter-final,England,Norway,120,24,Reece James,6471.3,2887.1,2722.9,618.6,177.3,65.5,52.0,17.0,29.4,36.0,32.0,89.0,1.0,1.0,1.0,13.0,9.0,69.0,0.0,0.0,0.0,0.0,0.0,35.0,18.0,3.0,1.0,0.0,1.0,12.0,15.0,4,1,1.0,0.0,6.0,14.0,0.0,0.0,0.0,4.0,3.0,26.0,14.0,2.0,5.0,Reece James,DF,False,49.0,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M99-NOR-V-ENG.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M99-NOR-V-ENG.pdf,Paired substitution times on the FIFA PMSR team-summary page.,242.8
99,Quarter-final,England,Norway,120,25,Djed Spence,4571.7,2153.7,1621.9,442.8,185.3,167.9,36.0,16.0,33.5,18.0,15.0,83.0,0.0,0.0,0.0,5.0,4.0,80.0,3.0,1.0,2.0,1.0,0.0,7.0,3.0,0.0,0.0,0.0,1.0,3.0,2.0,2,1,2.0,1.0,3.0,16.0,1.0,0.0,1.0,3.0,2.0,13.0,11.0,2.0,4.0,Djed Spence,DF,False,34.0,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M99-NOR-V-ENG.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M99-NOR-V-ENG.pdf,Paired substitution times on the FIFA PMSR team-summary page.,353.20000000000005
102,Semi-final,England,Argentina,90,1,Jordan Pickford,5626.3,4109.5,1342.2,169.3,5.3,0.0,13.0,1.0,20.8,42.0,23.0,55.0,0.0,0.0,0.0,23.0,8.0,35.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,18.0,17.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,Jordan Pickford,GK,True,90.0,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M102-ENG-V-ARG.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M102-ENG-V-ARG.pdf,Paired substitution times on the FIFA PMSR team-summary page.,5.3
102,Semi-final,England,Argentina,90,2,Ezri Konsa,2786.0,1176.7,1110.3,375.6,100.5,22.9,36.0,10.0,31.0,12.0,10.0,83.0,0.0,2.0,0.0,3.0,3.0,100.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,1.0,2.0,4.0,4.0,1.0,0.0,Ezri Konsa,DF,False,18.0,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M102-ENG-V-ARG.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M102-ENG-V-ARG.pdf,Paired substitution times on the FIFA PMSR team-summary page.,123.4
102,Semi-final,England,Argentina,90,3,Nico Oreilly,2032.3,732.5,675.6,465.1,134.3,24.9,35.0,11.0,33.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3.0,0.0,0.0,10.0,1.0,0.0,1.0,0.0,0.0,5.0,4.0,1.0,2.0,Nico Oreilly,DF,False,7.0,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M102-ENG-V-ARG.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M102-ENG-V-ARG.pdf,Paired substitution times on the FIFA PMSR team-summary page.,159.20000000000002
102,Semi-final,England,Argentina,90,4,Declan Rice,8835.5,3187.9,3767.9,1199.2,469.6,210.8,95.0,37.0,30.8,31.0,25.0,81.0,0.0,1.0,0.0,9.0,9.0,100.0,1.0,0.0,1.0,1.0,0.0,43.0,12.0,6.0,0.0,7.0,5.0,13.0,12.0,2,0,2.0,1.0,2.0,21.0,0.0,0.0,0.0,2.0,5.0,30.0,9.0,2.0,3.0,Declan Rice,MF,True,83.0,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M102-ENG-V-ARG.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M102-ENG-V-ARG.pdf,Paired substitution times on the FIFA PMSR team-summary page.,680.4000000000001
102,Semi-final,England,Argentina,90,5,John Stones,8556.0,3688.2,3385.1,1055.4,358.7,68.6,98.0,28.0,27.8,37.0,37.0,100.0,0.0,0.0,0.0,3.0,3.0,100.0,0.0,0.0,0.0,1.0,0.0,13.0,1.0,0.0,0.0,0.0,0.0,12.0,9.0,1,0,0.0,0.0,1.0,3.0,4.0,0.0,4.0,8.0,2.0,14.0,4.0,2.0,4.0,John Stones,DF,True,90.0,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M102-ENG-V-ARG.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M102-ENG-V-ARG.pdf,Paired substitution times on the FIFA PMSR team-summary page.,427.29999999999995
